,id,created_phase,cleaned_feature
0,5,1,"abl, order, deliveri, food, simpl, voic, command"
1,5,1,"turn, certain, light, dusk"
2,5,1,"sync, biorhythm, app, turn, music, might, suit, mood, arriv, work"
3,5,1,"regul, ideal, temperatur, accord, person, prefer, outsid, temperatur"
4,5,1,"keep, date, children, activ"
5,5,1,"send, push, notif, kid, arriv, school"
6,5,1,"certain, televis, show, start, TV, arriv"
7,5,1,"sync, alarm, morn, turn, light, shower, time, wake"
8,5,1,"alarm, sync, food, prepar, breakfast, food, tabl, least, readi, toaster, oven, readi, eat"
9,5,1,"open, garag, door, sens, vehicl, arriv, outsid"
10,5,1,"outdoor, safeti, light, turn, night, sens, someth, famili, member, pet, outsid"
11,5,1,"notifi, famili, member, trust, near"
12,5,1,"sync, christma, relat, light, indoor, outdoor, turn, appropri, time"
13,5,1,"notifi, box, deliv, prefer, packag, inform, label"
14,16,1,"ring, favorit, show, start"
15,16,1,"send, text, kid, get, school"
16,16,1,"play, team, goal, score"
17,16,1,"shut, stove"
18,16,1,"buzz, shower, warm, desir, temperatur"
19,16,1,"shut, sink, two, minut, brush, teeth"
20,16,1,"lock, door, night"
21,16,1,"adjust, temperatur, base, weather, outsid"
22,16,1,"shut, light, room, nobodi"
23,16,1,"buzz, room, disturb, babi, room"
24,9,1,"class, remind"
25,9,1,"video, feed, anim"
26,9,1,"music, avail, throughout"
27,9,1,"control, temperatur, time"
28,9,1,"carbon, monoxid, detector"
29,9,1,"smart, applianc, give, relev, inform, food, im, cook"
30,9,1,"video, camera, outsid"
31,9,1,"provid, news, updat, hobbi"
32,9,1,"bed, come, featur, allow, control, comfort"
33,17,1,"auto, sprinkler"
34,17,1,"hallway, motion, detector"
35,17,1,"fragranc, sprinkler"
36,17,1,"autom, sharp, furnitur, sensor"
37,17,1,"autom, food, bowl"
38,17,1,"tempratur, sensor"
39,17,1,"autom, music"
40,17,1,"socket, adapt"
41,17,1,"outdoor, motion, sensor"
42,17,1,"air, puriti, control"
43,13,1,"monitor, energi, use, make, recommend, reduc, energi, consumpt"
44,13,1,"calcul, heat, sourc, would, best, ductless, heat, pump, regular, furnac, space, heater, combin, therof"
45,13,1,"analyz, recommend, best, sourc, cool, air, condit, window, fan, ceil, fan, ductless, heat, pump, etc"
46,13,1,"monitor, near, home, door, window, etc, notifi, live"
47,13,1,"greet, take, pictur, enter, regist, occup"
48,13,1,"inform, weather, alert, area"
49,13,1,"monitor, bodi, inform, daili, weekli, potenti, health, concern, notic"
50,13,1,"make, daili, recommend, activ, food, good, ie, weather, perfect, nice, walk, today"
51,13,1,"make, bedroom, optim, temperatur, light, go, sleep, awaken"
52,13,1,"make, recommend, new, movi, come, match, view, habit"
53,26,1,"notifi, via, smartwatch, applic, smarthom, pet, water, contain, low"
54,26,1,"notifi, smarthom, plant, soil, becom, dri"
55,26,1,"notifi, smarthom, energi, consumpt, electr, ga, higher, usual"
56,26,1,"alert, window, smash, forc, open, outsid"
57,26,1,"abil, listen, music, everi, room, simultan"
58,26,1,"notifi, accident, leav, stove, oven"
59,26,1,"notifi, smarthom, present, air, qualiti"
60,26,1,"projector, mount, wall, wifi, capabl, connect, video, stream, servic, netflix, etc"
61,26,1,"abil, turn, offon, light, differ, room, voic, command"
62,26,1,"notifi, dog, enter, exit"
63,22,1,"control, stovetop, smartphon, tablet"
64,22,1,"abl, control, oven, app, smartphon, tablet"
65,22,1,"abl, open, garag, door, smartphonetablet"
66,22,1,thermostat
67,22,1,"coffe, machin"
68,22,1,"robot, clean, window"
69,22,1,shower
70,22,1,"carbon, monoxid, detector"
71,22,1,"touchscreen, tv, implant, wall, room"
72,22,1,"app, control, shadesblind, window"
73,14,1,"smartphon, silenc, notif, sound, doorbel, tv, etc, unless, emerg"
74,14,1,"smartphon, creat, environ, light, sound, temperatur"
75,14,1,"clean, floor, regularli"
76,14,1,"feed, water, pet, schedul"
77,14,1,"screen, form, commun, includ, visitor"
78,14,1,"activ, proactiv, secur"
79,14,1,"convert, room, move, furnitur, mirror, place, media"
80,14,1,"monitor, energi, use, excess"
81,14,1,"activ, safeti, featur, window, cover"
82,14,1,"rememb, entertain, prefer, music, video"
83,28,1,"electr, switch, one, insid, room"
84,28,1,"radio, adjust, volum, base, distanc, peopl"
85,28,1,"central, ac, switch, cool, heat, base, temperatur"
86,28,1,"door, look, autom, alarm, leav, enter, room"
87,28,1,"vacuum, cleaner, run, autom, schedul, time"
88,28,1,"wireless, charger, devic"
89,28,1,"devic, organ, kitchen, item, give, alarm, place, order, fall, limit"
90,28,1,"room, light, chang, light, effect, base, time, day"
91,28,1,"devic, send, photo, enter, main, gate"
92,28,1,"unlock, door, remot, locat, alert, video, feed"
93,28,1,"devic, greet, welcom, guest, doorstep"
94,25,1,"want, buzz, child, close, object, potenti, fall"
95,25,1,"want, time, room, weather, adjust"
96,25,1,"child, dont, fear, dark, night"
97,25,1,"save, energi"
98,24,1,"adjust, temperatur, room, base, locat, near, turn, heatercool, far, turn"
99,24,1,"door, automaticali, lock, relock, near, nfc, IR, bracelet, someth, similar"
100,24,1,"hous, vacuum, clean, like, integr, roomba, vacuum, cleaner"
